zone_id,hour_of_day,day_of_week,vessel_count,avg_draft_m,weather_wind_knots,weather_visibility_nm,tide_height_m,quay_crane_utilization,yard_occupancy_pct,congestion_index
A,14,4,11,13.53,4.9,8.1,2.82,0.545,0.53,62.62
A,10,1,10,14.6,10.9,10.1,4.17,0.506,0.472,51.99
A,5,2,10,14.78,10.5,8.5,1.28,0.227,0.478,61.87
A,11,5,7,15.5,8.2,3.4,4.79,0.619,0.27,48.86
A,8,6,12,16.34,11.9,8.4,2.82,0.51,0.555,62.14
A,10,3,10,13.57,12.8,8.6,2.72,0.668,0.723,71.45
A,15,6,17,13.53,7.6,6.2,4.34,0.232,0.283,42.9
A,19,4,7,15.09,5.4,11.5,3.12,0.541,0.466,46.28
A,21,2,8,14.83,2.0,5.5,3.21,0.187,0.356,37.49
A,13,0,6,15.14,21.8,10.9,3.57,0.717,0.41,51.31
A,17,3,8,16.5,25.4,6.6,3.42,0.725,0.506,66.17
A,14,2,11,13.96,3.0,11.8,3.44,0.636,0.274,53.58
A,9,0,5,14.43,15.6,7.4,4.43,0.483,0.327,36.81
A,22,6,2,16.3,7.2,8.7,4.3,0.315,0.322,25.48
A,18,2,8,15.75,11.1,7.3,0.9,0.329,0.562,58.08
A,14,0,10,16.5,10.2,5.2,3.4,0.612,0.504,58.41
A,13,1,11,16.42,11.0,7.8,3.64,0.566,0.406,56.65
A,12,1,15,11.55,7.7,5.5,2.49,0.736,0.37,61.25
A,2,0,4,14.5,38.2,9.7,2.06,0.127,0.327,45.04
A,1,2,3,15.18,8.6,6.4,2.29,0.05,0.285,20.06
A,3,6,8,15.59,12.6,8.5,3.82,0.05,0.45,40.81
A,12,3,7,15.27,14.3,11.3,2.97,0.607,0.517,52.06
A,12,2,5,15.99,33.8,3.2,3.89,0.835,0.378,69.95
A,2,5,5,16.31,9.4,4.8,3.84,0.357,0.41,38.28
A,2,4,5,13.68,18.7,8.0,5.08,0.498,0.449,41.29
A,18,4,13,13.49,4.4,7.5,4.11,0.533,0.235,50.24
A,18,5,10,15.18,7.4,6.6,3.9,0.525,0.772,66.48
A,5,0,4,13.52,26.7,8.4,4.34,0.212,0.289,32.33
A,7,4,2,14.04,24.7,11.9,4.5,0.484,0.543,45.05
A,5,6,9,14.43,14.8,5.0,2.98,0.5,0.356,48.39
A,23,4,5,15.07,31.3,10.5,3.4,0.237,0.362,46.92
A,13,4,10,15.81,4.0,10.9,4.38,0.619,0.43,51.49
A,10,5,6,12.95,10.4,11.2,1.96,0.499,0.482,55.11
A,5,4,6,15.34,30.9,10.0,2.08,0.138,0.412,46.05
A,7,0,7,13.16,5.2,3.3,2.71,0.299,0.245,40.48
A,15,2,14,11.31,2.9,4.8,2.82,0.303,0.455,49.93
A,13,1,9,14.42,16.4,5.8,3.99,0.427,0.365,46.51
A,0,3,6,14.22,19.4,5.4,2.8,0.099,0.489,35.66
A,22,1,8,13.0,20.4,7.1,1.83,0.434,0.252,48.67
A,11,3,6,16.5,2.9,11.2,4.27,0.453,0.496,47.15
A,18,0,11,12.45,5.3,9.1,1.78,0.272,0.512,64.27
A,16,4,13,15.07,14.6,9.7,2.1,0.478,0.561,61.15
A,13,1,12,13.63,14.0,5.8,1.52,0.688,0.404,70.03
A,6,2,10,15.17,3.8,7.2,3.51,0.552,0.466,53.28
A,1,4,3,12.91,28.5,6.0,2.32,0.207,0.341,34.79
A,16,4,12,15.71,7.4,7.6,3.96,0.613,0.654,68.69
A,15,5,14,15.73,13.7,6.7,1.82,0.397,0.813,78.36
A,6,0,9,14.32,25.0,6.7,3.13,0.807,0.42,65.22
A,13,6,13,12.09,21.4,7.4,0.91,0.687,0.346,71.71
A,3,4,11,15.5,18.6,8.1,3.18,0.226,0.427,46.71
A,15,3,8,12.48,3.8,6.6,2.89,0.371,0.339,39.06
A,15,0,8,14.21,7.4,8.7,1.51,0.529,0.6,66.94
A,21,4,5,14.35,9.4,8.6,4.51,0.05,0.362,27.29
A,9,2,17,15.46,21.7,6.3,3.9,0.288,0.524,57.89
A,1,2,12,14.06,17.3,8.1,3.57,0.531,0.429,55.85
A,14,5,8,15.56,7.0,6.4,3.45,0.666,0.498,59.72
A,2,1,5,15.82,13.6,9.9,3.27,0.184,0.273,25.69
A,12,0,7,13.39,17.4,7.4,3.81,0.589,0.435,51.24
A,11,6,11,15.28,3.4,7.0,3.41,0.467,0.642,59.54
A,4,4,6,13.83,16.5,9.2,4.27,0.244,0.267,33.81
A,19,4,8,13.75,11.5,10.0,2.7,0.329,0.486,45.44
A,10,3,13,15.06,17.2,8.4,3.47,0.717,0.459,60.51
A,5,6,3,13.56,17.8,8.6,5.09,0.05,0.652,32.02
A,20,6,9,16.45,2.0,6.1,4.23,0.312,0.481,44.25
A,8,5,12,13.81,9.6,9.5,1.31,0.494,0.536,70.99
A,17,5,6,15.96,18.7,8.1,3.72,0.561,0.426,45.39
A,14,5,7,16.3,20.0,5.6,3.24,0.488,0.468,46.53
A,1,5,5,16.5,17.8,6.4,2.71,0.138,0.383,32.68
A,7,1,11,16.02,17.1,12.0,2.97,0.664,0.759,71.45
A,8,3,14,14.06,14.2,6.1,2.67,0.559,0.462,59.15
A,22,2,5,12.93,23.3,5.6,3.19,0.184,0.186,24.92
A,6,3,9,15.86,10.8,9.4,4.04,0.549,0.873,73.01
A,20,1,11,15.79,12.4,3.9,2.57,0.525,0.596,65.59
A,7,4,6,13.75,15.7,8.2,2.88,0.493,0.302,38.2
A,23,6,10,15.88,3.9,8.3,3.1,0.076,0.447,43.11
A,23,3,5,14.44,16.4,2.9,3.48,0.423,0.319,42.01
A,0,0,3,14.08,10.3,9.4,4.54,0.237,0.496,32.74
A,14,5,14,14.19,11.3,7.6,2.44,0.355,0.484,52.99
A,16,2,11,15.6,15.3,2.9,5.4,0.556,0.395,58.97
A,22,1,9,15.22,7.7,9.3,1.86,0.278,0.344,52.99
A,16,3,11,14.74,10.9,8.9,3.36,0.639,0.561,60.08
A,1,1,10,12.56,20.5,6.9,2.64,0.14,0.386,42.84
A,12,0,10,15.45,10.1,9.7,1.73,0.295,0.633,68.42
A,18,3,16,16.5,22.3,6.8,3.16,0.544,0.357,58.96
A,8,2,12,15.25,13.1,3.9,3.39,0.425,0.21,50.88
A,11,2,11,16.08,13.3,7.8,3.62,0.433,0.354,47.26
A,13,4,10,15.05,37.8,7.6,4.05,0.523,0.401,72.84
A,12,3,15,14.61,24.5,8.2,3.63,0.375,0.43,56.44
A,23,3,9,13.51,11.6,8.5,0.9,0.565,0.38,64.45
A,14,1,11,13.94,6.4,8.2,4.86,0.352,0.397,50.39
A,6,1,11,15.2,18.2,5.0,2.92,0.45,0.56,62.52
A,21,4,1,15.97,28.1,6.3,1.69,0.611,0.339,52.87
A,21,4,12,15.67,22.3,8.8,4.99,0.221,0.305,44.61
A,5,0,4,13.27,34.0,6.4,3.43,0.365,0.189,46.74
A,11,4,13,12.87,11.4,4.2,1.74,0.516,0.499,74.21
A,3,4,2,15.15,7.2,5.5,3.29,0.207,0.54,33.08
A,19,2,6,13.19,10.5,7.7,4.06,0.672,0.509,50.01
A,6,0,11,14.69,39.6,6.0,1.91,0.333,0.316,82.14
A,2,3,2,14.73,12.0,8.5,2.62,0.515,0.553,39.88
A,16,1,3,16.5,18.2,11.4,3.49,0.437,0.457,35.22
A,2,1,10,13.98,9.2,9.1,3.33,0.618,0.263,50.94
A,0,5,2,14.84,11.9,5.7,3.59,0.05,0.464,23.24
A,11,3,10,14.58,3.2,8.1,2.33,0.32,0.565,50.69
A,18,4,11,14.24,26.5,6.3,2.75,0.401,0.456,61.43
A,0,3,5,12.97,17.7,6.2,2.64,0.31,0.464,38.89
A,2,6,9,12.17,43.2,8.4,3.09,0.195,0.282,67.44
A,20,1,9,13.31,17.3,9.6,2.66,0.572,0.357,46.88
A,10,6,8,12.41,12.6,9.1,1.84,0.669,0.553,68.79
A,9,4,13,15.06,13.9,7.1,2.78,0.521,0.489,59.23
A,22,1,9,13.36,2.7,7.2,4.27,0.286,0.346,42.38
A,18,2,14,13.54,24.3,10.1,2.48,0.575,0.374,62.82
A,9,5,12,14.54,7.5,6.0,3.98,0.484,0.475,56.55
A,17,1,12,13.73,20.5,10.7,5.18,0.583,0.589,62.79
A,14,0,11,13.25,3.2,8.8,3.36,0.454,0.442,54.09
A,23,4,7,15.53,9.0,9.3,2.3,0.23,0.496,42.29
A,11,2,12,15.85,7.8,11.3,3.53,0.404,0.539,54.64
A,11,4,10,16.27,9.5,5.6,3.47,0.529,0.62,58.22
A,15,0,9,15.15,15.3,8.0,2.98,0.651,0.345,52.5
A,1,0,9,15.32,2.5,8.0,3.46,0.362,0.449,49.03
A,22,5,9,13.52,2.8,8.0,4.23,0.05,0.18,25.29
A,12,3,14,15.68,10.9,6.3,3.53,0.361,0.588,57.42
A,17,2,8,15.43,9.1,10.0,2.49,0.595,0.614,52.6
A,3,5,9,13.64,3.5,8.6,1.7,0.331,0.373,58.59
A,15,6,7,14.23,7.0,10.1,1.07,0.549,0.35,53.53
A,12,2,6,14.67,3.8,9.8,2.99,0.556,0.456,45.75
A,4,3,11,14.47,29.9,9.5,4.06,0.096,0.393,54.91
A,23,0,5,14.38,11.3,8.3,2.96,0.121,0.249,23.3
A,12,5,15,14.47,8.1,7.7,1.96,0.356,0.288,58.36
A,14,6,10,15.89,10.2,7.3,5.4,0.586,0.399,51.28
A,20,3,7,13.53,10.6,5.9,2.31,0.661,0.524,51.99
A,1,3,7,14.15,13.8,5.7,3.29,0.05,0.221,25.98
A,1,2,10,15.24,33.7,10.6,3.26,0.242,0.272,55.11
A,6,4,12,13.92,7.0,4.3,3.3,0.572,0.457,60.91
A,16,6,10,13.43,13.5,5.8,1.53,0.669,0.438,65.41
A,10,2,7,12.87,10.9,6.9,2.4,0.631,0.403,50.27
A,14,5,6,13.04,13.5,6.1,4.33,0.443,0.46,41.36
A,3,5,8,13.62,14.2,7.6,4.75,0.313,0.34,37.37
A,5,1,8,13.07,10.9,10.1,5.4,0.296,0.42,42.2
A,8,3,9,14.83,18.6,9.1,2.58,0.646,0.508,56.37
A,0,4,6,15.53,11.5,8.5,1.86,0.05,0.583,50.19
A,14,2,12,13.42,15.1,10.1,1.97,0.573,0.452,69.3
A,2,3,9,14.1,16.0,10.7,2.63,0.292,0.326,40.87
A,5,2,9,12.63,5.0,5.4,2.87,0.197,0.507,43.9
A,7,5,10,14.23,15.9,8.6,2.91,0.586,0.589,59.11
A,22,0,10,15.29,10.1,8.3,5.22,0.201,0.323,39.87
A,13,2,9,15.29,26.9,4.9,1.8,0.516,0.649,78.81
A,10,5,5,14.58,22.9,8.3,4.48,0.59,0.532,52.54
A,14,3,18,14.41,20.0,5.3,2.68,0.462,0.672,65.99
A,3,5,10,13.42,7.1,9.5,2.96,0.279,0.447,46.46
A,12,0,5,13.82,36.8,12.0,2.43,0.517,0.639,69.89
A,6,4,12,12.76,10.5,6.2,4.14,0.686,0.516,64.17
A,6,4,13,14.15,13.5,10.8,2.42,0.608,0.541,64.1
A,0,4,4,15.33,15.9,9.3,3.79,0.081,0.448,29.15
A,4,2,10,15.86,35.7,3.8,2.21,0.461,0.287,71.19
A,18,2,14,14.57,40.8,8.5,2.02,0.736,0.525,92.56
A,11,2,13,13.5,11.9,7.1,1.57,0.453,0.626,72.14
A,8,4,9,14.81,21.7,5.5,0.9,0.564,0.68,75.42
A,23,6,6,12.98,13.0,7.2,3.67,0.297,0.1,26.1
A,16,5,14,14.63,23.2,10.8,5.4,0.559,0.503,60.58
A,5,2,3,14.45,6.0,6.6,4.38,0.05,0.293,19.36
A,8,0,10,14.74,7.9,12.0,1.21,0.405,0.438,61.2
A,1,4,10,12.99,7.5,3.1,4.02,0.283,0.221,47.38
A,10,3,7,14.85,20.2,4.8,3.75,0.485,0.444,51.42
A,18,6,5,14.82,29.9,8.2,2.77,0.452,0.532,57.37
A,11,5,9,14.35,6.0,10.0,3.14,0.677,0.287,48.03
A,23,6,5,14.79,2.1,9.8,3.45,0.29,0.343,33.09
A,3,6,9,15.9,11.3,8.8,0.9,0.277,0.429,55.82
A,21,2,6,14.59,22.0,9.9,3.74,0.128,0.496,40.74
A,2,2,7,14.35,10.3,7.9,3.36,0.294,0.276,36.89
A,13,3,8,13.69,11.7,7.7,3.05,0.585,0.504,52.3
A,22,1,6,15.29,20.6,7.1,2.42,0.143,0.23,28.27
A,13,5,8,15.88,14.8,6.6,1.68,0.582,0.416,62.92
A,9,1,11,14.76,24.2,1.9,5.18,0.355,0.408,64.52
A,3,4,2,14.77,16.0,8.7,4.09,0.05,0.271,17.37
A,21,5,10,14.73,20.2,8.6,3.01,0.271,0.33,44.3
A,3,3,8,12.24,5.9,5.9,3.58,0.172,0.359,34.54
A,20,4,11,14.3,14.1,8.3,2.32,0.443,0.769,61.46
A,8,2,10,12.77,11.2,6.4,3.04,0.703,0.446,59.22
A,15,0,11,14.06,34.3,9.0,2.02,0.615,0.314,71.9
A,17,2,7,15.79,5.2,5.5,3.9,0.584,0.461,48.29
A,21,5,7,12.41,13.5,7.0,2.11,0.223,0.1,29.79
A,23,4,9,15.15,12.4,4.9,4.43,0.351,0.436,47.27
A,21,4,7,14.27,8.4,6.9,1.78,0.071,0.205,35.65
A,11,2,12,15.21,32.8,8.6,5.34,0.661,0.545,78.54
A,3,2,5,14.87,13.8,5.9,3.15,0.498,0.452,45.95
A,10,6,11,16.26,15.1,9.2,4.79,0.368,0.364,48.37
A,3,6,8,15.03,6.7,7.2,3.66,0.494,0.386,46.4
A,16,1,9,13.19,11.6,4.0,3.4,0.501,0.743,64.52
A,21,5,6,16.5,3.4,4.4,2.91,0.332,0.298,32.62
A,17,2,11,13.89,9.0,5.7,4.65,0.722,0.4,61.51
A,3,6,6,14.21,4.5,8.2,4.36,0.327,0.406,39.39
A,10,4,4,13.67,6.4,6.5,3.49,0.491,0.448,43.35
A,9,3,9,13.59,4.5,6.1,4.65,0.416,0.67,53.55
A,17,4,13,14.99,4.4,4.8,4.0,0.366,0.502,54.15
A,3,4,9,15.09,29.1,9.5,2.68,0.095,0.324,48.7
A,22,1,5,14.64,21.0,5.6,2.07,0.262,0.298,28.42
A,14,2,14,11.37,14.1,6.4,4.25,0.604,0.624,63.91
A,16,6,11,14.3,18.0,12.0,4.14,0.423,0.479,52.69
A,6,5,12,14.47,11.2,9.9,2.2,0.754,0.37,61.24
A,4,0,11,13.48,7.2,4.5,2.69,0.47,0.38,52.56
A,22,6,4,14.66,3.8,6.8,5.4,0.23,0.407,29.04
A,4,5,8,15.36,20.8,7.4,3.69,0.197,0.307,35.03
A,1,2,10,15.27,6.3,8.2,2.71,0.513,0.265,43.05
A,14,3,11,15.33,19.7,7.4,3.7,0.36,0.593,57.16
A,16,2,14,12.37,8.6,8.4,2.87,0.642,0.57,61.96
A,21,2,10,13.56,12.7,7.6,3.31,0.181,0.27,35.12
A,11,0,9,14.37,18.4,4.4,3.86,0.467,0.419,52.71
A,1,5,4,15.15,11.6,10.0,4.79,0.064,0.307,21.51
A,23,1,8,14.47,10.9,7.7,2.17,0.303,0.355,40.19
A,16,2,6,13.54,12.9,11.3,3.33,0.796,0.596,56.66
A,22,6,8,14.36,8.2,5.6,3.1,0.358,0.595,48.61
A,9,0,14,15.48,27.1,8.9,1.51,0.539,0.474,81.97
A,12,3,12,12.84,27.1,9.0,3.27,0.375,0.587,69.25
A,5,5,9,13.46,11.7,7.2,4.11,0.05,0.298,35.67
A,8,1,14,13.35,17.9,5.4,1.13,0.311,0.555,63.7
A,22,1,11,14.18,20.1,9.5,2.44,0.05,0.39,42.3
A,16,0,8,15.22,8.9,6.6,4.7,0.625,0.54,55.62
A,17,3,14,14.96,9.6,10.8,3.2,0.56,0.345,50.79
A,10,5,15,15.67,6.8,9.1,3.03,0.359,0.505,55.78
A,14,3,13,16.13,11.0,7.3,4.06,0.549,0.305,51.47
A,23,0,7,13.91,17.2,8.8,4.56,0.141,0.181,24.9
A,8,5,7,14.71,48.0,8.4,4.13,0.523,0.521,84.14
A,21,0,12,15.07,7.2,5.2,4.02,0.494,0.363,52.12
A,9,6,11,14.24,10.6,4.4,3.86,0.417,0.482,54.55
A,23,2,5,11.99,25.6,11.6,3.63,0.325,0.246,31.7
A,21,0,7,15.16,35.9,5.5,3.48,0.193,0.243,48.12
A,4,1,9,14.34,14.0,6.8,3.14,0.094,0.664,50.3
A,15,0,13,15.6,21.9,9.8,3.09,0.462,0.459,58.23
A,18,2,5,13.54,12.2,6.9,4.23,0.506,0.56,46.79
A,12,1,8,15.94,9.5,5.1,2.44,0.294,0.349,38.76
A,19,2,8,16.05,20.9,8.9,1.95,0.499,0.476,63.86
A,14,0,12,12.51,30.5,2.7,3.54,0.608,0.635,84.28
A,8,6,15,14.86,16.3,8.7,4.79,0.543,0.594,66.13
A,9,3,13,16.5,11.2,6.1,2.09,0.404,0.409,53.39
A,11,2,10,13.41,26.9,9.9,3.86,0.346,0.611,63.71
A,0,5,7,13.52,8.8,8.5,1.7,0.077,0.452,47.73
A,22,6,9,13.36,25.9,8.3,1.48,0.213,0.361,60.08
A,23,6,6,14.9,15.1,5.9,3.34,0.136,0.489,36.25
A,12,2,11,13.28,11.0,10.2,2.54,0.59,0.283,49.31
A,5,6,9,15.25,24.7,9.9,5.4,0.296,0.466,54.61
A,18,2,15,13.49,15.8,9.8,3.42,0.304,0.322,48.48
A,4,2,11,14.14,18.3,7.4,4.23,0.177,0.307,41.1
A,8,5,8,13.92,23.6,11.2,2.76,0.633,0.718,67.96
A,13,1,15,15.52,15.9,8.5,2.12,0.346,0.867,67.07
A,4,0,8,14.25,29.7,11.0,2.31,0.38,0.332,53.45
A,15,5,7,15.25,17.7,5.7,3.52,0.667,0.509,53.2
A,13,3,8,12.18,28.3,5.3,3.74,0.445,0.279,53.5
A,1,2,2,14.22,4.0,6.5,1.88,0.182,0.225,29.41
A,6,3,14,13.13,10.2,8.2,3.17,0.58,0.398,53.15
A,4,5,5,15.71,13.5,7.3,3.16,0.111,0.373,30.05
A,1,0,5,13.19,14.3,7.5,3.39,0.252,0.225,25.97
A,12,0,1,12.74,9.9,9.8,1.33,0.719,0.389,48.62
A,7,4,15,14.59,22.2,7.6,2.23,0.533,0.615,65.65
A,2,4,10,14.26,25.3,11.6,4.57,0.207,0.283,46.51
A,4,5,7,12.5,40.6,8.9,4.68,0.229,0.549,67.47
A,16,5,11,12.5,8.7,5.5,3.97,0.56,0.522,62.17
A,4,0,9,15.7,25.2,8.8,3.6,0.455,0.37,51.53
A,17,4,13,15.4,13.6,6.6,2.78,0.439,0.743,66.09
A,19,5,4,16.5,10.7,8.1,1.49,0.535,0.464,51.8
A,7,2,9,13.14,9.7,10.3,3.56,0.606,0.446,51.7
A,20,6,9,15.26,22.4,5.7,2.93,0.266,0.444,45.94
A,20,2,14,16.5,6.4,8.7,4.72,0.193,0.699,57.13
A,16,2,8,12.07,16.3,11.8,4.73,0.401,0.464,45.67
A,23,2,7,14.78,5.1,7.0,4.08,0.127,0.232,25.5
A,12,0,11,15.37,7.8,6.3,2.98,0.445,0.677,63.42
A,14,1,9,15.64,7.8,9.7,3.04,0.521,0.386,49.19
A,20,0,11,14.81,12.3,4.6,3.55,0.558,0.516,59.39
A,20,0,5,13.04,13.0,6.9,3.27,0.396,0.629,48.98
A,9,0,12,13.64,8.1,7.0,3.55,0.598,0.473,61.5
A,18,5,9,15.07,14.9,8.3,1.48,0.692,0.545,71.24
A,6,6,8,15.41,12.8,6.5,3.23,0.558,0.524,51.7
A,9,4,9,14.68,13.7,7.9,3.29,0.54,0.424,50.51
A,15,5,10,15.5,10.6,6.9,4.03,0.378,0.584,53.59
A,5,4,8,15.04,9.4,7.6,1.94,0.272,0.313,49.21
A,16,0,9,14.7,7.0,7.0,3.4,0.47,0.558,53.03
A,3,2,10,14.1,15.9,10.1,2.69,0.1,0.315,33.55
A,13,4,10,13.68,10.2,6.7,3.1,0.288,0.436,47.21
A,23,6,8,14.19,25.1,10.6,3.42,0.147,0.546,52.11
A,1,2,8,15.4,10.0,6.9,0.9,0.293,0.352,48.28
A,8,4,10,14.74,13.8,9.7,4.3,0.343,0.63,54.21
A,18,4,11,14.86,6.5,7.1,2.28,0.475,0.762,64.0
A,17,0,7,13.75,11.9,1.6,2.7,0.255,0.541,56.18
A,9,5,13,15.83,22.0,6.3,2.69,0.495,0.386,55.92
A,20,4,10,14.83,7.3,5.4,2.77,0.403,0.333,47.82
A,14,1,5,16.29,13.0,8.5,2.08,0.466,0.612,48.71
A,13,6,10,13.78,16.0,8.5,3.9,0.222,0.434,43.61
A,11,4,1,14.05,6.6,3.9,3.48,0.585,0.358,36.55
A,19,4,9,13.67,6.1,3.6,4.92,0.574,0.397,52.83
A,3,5,3,13.19,19.9,8.2,3.36,0.315,0.215,27.34
A,21,1,7,13.94,6.6,7.5,4.56,0.567,0.266,41.59
A,20,1,5,12.02,27.1,9.9,3.07,0.266,0.504,45.52
A,10,6,11,13.49,4.1,7.9,1.65,0.665,0.496,74.82
A,6,1,11,16.5,11.7,6.9,2.09,0.496,0.459,54.86
A,9,0,14,15.33,14.8,5.3,2.89,0.471,0.246,48.5
A,11,1,7,16.5,5.6,7.9,3.44,0.727,0.509,58.61
A,23,4,2,15.77,11.5,9.2,2.1,0.516,0.474,37.3
A,3,0,10,13.9,24.4,11.5,2.94,0.219,0.367,48.56
A,18,5,8,14.41,17.7,8.1,3.11,0.596,0.117,38.17
A,22,2,9,14.11,6.1,7.9,4.67,0.468,0.377,45.27
A,4,3,5,12.89,6.2,7.4,2.32,0.05,0.328,24.15
A,20,6,10,12.09,14.7,9.8,4.68,0.39,0.408,49.05
A,19,4,12,13.75,13.5,7.1,2.37,0.702,0.626,68.37
A,10,2,11,12.7,3.7,7.9,4.21,0.643,0.41,58.62
A,18,3,8,14.45,12.1,7.1,1.27,0.72,0.521,66.66
A,16,1,7,14.66,21.3,9.1,3.25,0.545,0.584,54.79
A,12,0,8,15.55,13.4,8.3,1.89,0.615,0.63,66.97
A,12,6,12,12.39,21.9,6.4,3.2,0.543,0.413,58.22
A,5,1,12,16.28,2.4,5.4,4.94,0.208,0.28,40.82
A,9,1,11,12.45,7.6,6.4,3.32,0.361,0.45,52.65
A,6,5,8,14.19,10.5,6.4,5.39,0.347,0.54,48.35
A,15,2,9,13.12,8.0,7.9,3.76,0.818,0.679,67.78
A,3,1,4,13.77,6.0,10.1,2.12,0.428,0.156,27.49
A,18,4,11,13.91,4.5,10.0,1.08,0.458,0.604,72.1
A,11,5,9,14.18,28.0,6.9,2.73,0.308,0.557,59.11
A,3,0,5,14.51,2.0,4.2,3.82,0.208,0.303,28.46
A,18,6,9,14.48,16.0,8.4,4.07,0.195,0.439,43.28
A,6,4,7,15.48,4.1,10.6,2.29,0.468,0.425,44.63
A,2,4,10,16.5,9.3,6.8,3.87,0.258,0.413,46.58
A,11,0,13,12.42,17.8,9.1,4.42,0.463,0.611,60.28
A,18,2,9,16.24,20.7,11.5,3.26,0.32,0.559,50.81
A,19,5,6,15.11,7.1,8.0,2.84,0.705,0.674,60.84
A,18,2,14,13.16,37.2,7.1,3.01,0.574,0.505,80.82
A,0,2,5,14.55,15.0,9.2,4.34,0.157,0.534,35.87
A,15,2,7,14.16,25.1,4.9,1.19,0.71,0.374,71.49
A,0,4,15,12.87,5.1,8.2,3.15,0.296,0.331,48.48
A,5,2,9,16.5,17.9,9.3,1.98,0.176,0.346,47.05
A,16,3,4,14.64,12.7,7.0,3.9,0.484,0.515,39.58
A,23,2,10,16.5,17.3,2.0,3.45,0.281,0.479,58.1
A,18,6,15,13.97,13.7,9.3,2.28,0.386,0.423,49.96
A,12,5,8,14.67,10.1,8.4,4.02,0.464,0.614,54.0
A,8,6,13,15.22,37.2,4.2,3.73,0.591,0.524,84.54
A,15,6,11,14.23,7.7,5.9,3.2,0.341,0.638,59.36
A,23,0,5,15.8,5.3,6.6,3.82,0.391,0.373,34.86
A,22,6,4,14.16,23.2,9.5,3.22,0.154,0.175,20.56
A,21,3,4,15.42,4.6,6.1,3.32,0.438,0.359,33.46
A,22,2,6,14.94,11.8,8.5,3.17,0.209,0.263,28.23
A,15,3,19,13.4,8.3,9.4,2.77,0.34,0.482,54.13
A,18,5,13,13.76,11.8,8.2,4.0,0.48,0.571,60.75
A,6,0,10,14.7,14.4,6.1,1.66,0.491,0.621,71.27
A,22,0,9,15.67,5.8,11.2,2.95,0.143,0.118,23.97
A,15,4,8,13.99,4.5,9.5,2.98,0.446,0.43,47.37
A,14,2,13,14.91,12.0,7.8,3.41,0.448,0.299,48.25
A,6,4,8,14.34,8.8,2.2,3.3,0.16,0.631,52.33
A,21,2,4,14.98,14.2,8.7,4.14,0.406,0.294,27.84
A,8,4,12,16.5,19.5,6.3,3.85,0.371,0.544,57.44
A,0,3,1,14.71,25.8,4.3,3.08,0.17,0.296,29.39
A,4,2,7,16.5,14.7,7.5,3.47,0.29,0.155,28.4
A,13,0,12,13.84,21.2,6.4,2.03,0.533,0.405,54.43
A,22,3,2,13.03,2.9,7.3,2.04,0.121,0.223,15.38
